New Code,OP
OP1920,Define data management strategy
OP2026,Obtain mandate to develop DMS
OP2027,Create a DMS team
OP2028,Identify DMS stakeholders
OP1922,Review and approve DMS by stakeholders
OP2029,Create a DMS socialization strategy
OP1923,Evaluate the enforceability of DMS
OP1924,Document high-level business requirements / use Cases
OP1925,Prioritize business requirements / use cases
OP2030,Define mecanisms for DMS alignment with organizational changes
OP1926,Define DM business case
OP1927,Define expected DM outcomes and targets
OP2031,Define DMS expected benefits and KPIs
OP2032,Identify risks associated with not having a DMS
OP1928,Review and approve DM business case
OP1929,Define data content strategy
OP1921,Review external sources for business requirements
OP2034,Assess the current state of DM initiatives
OP2035,Define gap closure roadmap
OP1931,Define data management deployment strategy
OP2036,Review and approve data management deployment strategy
OP1974,Define a DM policy and standards
OP1975,Review and approve DM policy and standards
OP1976,Audit adherence to DM policy and standards
OP1944,Establish the Office of Data Management (ODM)
OP2451,Establish data management processes for the context of the project
OP1932,Define DMP strategy and approach
OP2037,Review and approve DMP strategy and approach
OP2038,Define roles and responsibilities of the DMP function
OP2039,Define policies and procedures to enforce DMP compliance  
OP2040,Establish Project Management Office (PMO)
OP1933,Define formal DMP processes
OP1934,Integrate DMP concepts in DMS
OP1930,Define data usage strategy
OP2676,Define roles and responsibilities specific to managing data and information throughout its lifecycle
OP2033,Review data usage strategy for ethical considerations
OP2229,Document intended usage of data
OP2230,Identify and evaluate restrictions on data usage
OP2231,Document data usage restrictions
OP2227,Validate that data collection and/or usage is aligned with legitimate purpose
OP2713,Implement processes and technologies to ensure that data is collected and used in accordance with applicable laws and regulations
OP1935,Define program roadmaps aligned with DMS
OP1936,Review and approve program roadmaps
OP1937,"Develop project plans detailing deliverables, timelines, and milestones"
OP2041,Review and approve project plans
OP1939,Adopt a process optimization framework
OP1938,Define standard DM processes
OP2042,Assess quality control within DM process
OP2043,Monitor quality assurance of DM process
OP1940,Audit DM processes
OP2044,Establish formal DM training programs
OP1941,Define program metrics to track progress
OP2045,Review and approve program metrics
OP2046,Report program metrics to track progress
OP1942,Define outcome metrics to track against business objectives  
OP2047,Review and approve outcome metrics
OP2048,Report outcome metrics against business objectives
OP1943,Define process metrics to drive continuous improvement
OP2049,Review and approve process metrics
OP2050,Report process metrics
OP2988,"Establish an approved Enterprise Information Management solution for documenting business activities, decisions, and processes"
OP2989,Establish a mechanism for tracking and reporting on adoption and usage of the Enterprise Information Management solution
OP2990,Develop a training plan to ensure users are properly trained on the Enterprise Information Management System
OP1988,Establish a data control environment
OP1989,Define DM stakeholder roles & responsibilities
OP1990,Demonstrate DM capabilities alignment across organization
OP1991,Demonstrate alignment between control function and DM policy and standards
OP1992,Monitor collaboration between DM control functions
OP1993,Apply controls to data entering/exiting the ecosystem
OP1997,Define analytics strategy and approach
OP1999,Define analytics operating model
OP2000,Establish an analytics funding model
OP1998,Define analytics categorization and use-cases terminology
OP2003,Identification of dependencies between analytics and business architecture
OP2004,Align the Analytics roadmap with the business strategy
OP2005,Measure and report analytics initiative impact 
OP2012,Design platform suitable for Analytics operating model
OP2013,Establish an analytics version control regime
OP2014,Define and implement data obfuscation strategies
OP2015,Define environment scalability requirements
OP2560,Establish quality requirements for automated model development processes
OP1615,Establish a statement of purpose for model development
OP2351,Establish experiment tracking and documentation processes
OP1616,"Document model design, theory and logic"
OP1617,Document model methodologies and processing components
OP2568,Conduct an assessment of potential impact to the planet
OP2352,Record and track experimentation results
OP1618,Compare model development with alternative theories
OP1619,Demonstrate sound model development
OP2280,Define appropriate data sampling techniques
OP2308,Establish representative sample data population
OP2309,Validate data sample representativeness
OP2310,Identify target data population characteristics
OP2311,Validate target data population characteristics
OP2244,"Document ""In the lab"" model testing requirements"
OP2563,"Assess ""In the Field"" testing requirements"
OP1624,"Define ""In the Lab"" model testing procedures"
OP2564,"Define ""In the Field"" model testing procedures"
OP1625,Assess model accuracy
OP2578,Evaluate the integration testing of the model
OP2579,Evaluate challenger models prior to deployment
OP2245,Document type / purpose of test
OP2246,Document datasets used for modeling and testing
OP2565,"Document datasets used for ""In the Field"" testing"
OP2247,Document model parameters
OP2248,Document testing conditions
OP2338,Document model dependencies
OP1627,Evaluate the model behavior over various conditions
OP1628,Assess the impacts of model assumptions
OP1629,Evaluate the model impacts on other models
OP2567,Evaluate the impact of model changes/updates on other models
OP1630,Assess model performance by model users
OP2548,Examine UI/UX for deceptive design patterns  
OP2549,Conduct a user evaluation of the UI/UX
OP1912,Assess AI system performance
OP2249,Evaluate and document testing outcomes
OP1631,Demonstrate model robustness and stability
OP1632,Establish model report guidelines
OP1633,Assess model uncertainty and inaccuracy
OP1634,Define measures to account for model uncertainty and inaccuracy
OP2566,Monitor and enforce measures that account for model uncertainty and inaccuracy
OP1635,Adjust model components to reduce uncertainty and inaccuracy
OP2271,Establish model deployment structure
OP2272,Establish model deployment strategy
OP2273,Establish model monitoring strategy and processes
OP2274,Validate complete model deployment
OP1636,Define the model conservatism
OP1637,Document conservative model procedures
OP1638,Establish limits on model usage
OP1639,Train model users for conservatism
OP1640,Demonstrate model conservatism
OP1643,Define model validation process  
OP1644,Assign roles & responsibilities for model validation
OP1646,Train personnel for model validation
OP1647,Establish incentives for model validation
OP1648,Identify model components requiring validation
OP1649,Establish periodic model review
OP1645,Review model validation by independent party
OP1682,Record model validation
OP2279,Establish data requirements for fairness testing
OP2281,Define data requirements for robustness testing
OP2282,Establish exploratory data analysis processes / requirements
OP2335,Document model's limitations
OP2254,Assess model scalability and/or technical requirements
OP2258,Establish required AI literacy level
OP2255,Determine ethical considerations that limit model usage
OP2256,Determine business considerations that limit model usage
OP2257,Determine model transparency and explainability capabilities
OP1626,Assess model limitations
OP1656,Identify model performance boundaries 
OP159,Establish model security requirements
OP1650,Evaluate the model developmental evidence
OP1651,Assess model assumptions and variable choice
OP1652,Assess data used in model development
OP1653,Evaluate the logic and judgment used in model development
OP1654,Analyze model sensitivity
OP1655,Conduct model stress testing
OP2339,Establish model lifecycle's monitoring strategy
OP2340,Establish requirements and processes appropriate to the context of the project monitoring
OP2341,Establish monitoring and control points for the Model Development/Testing processes
OP2342,Establish monitoring and control points for the Model Validation/Selection processes
OP2343,Establish monitoring and control points for the Model Risk Assessment processes
OP2344,Establish monitoring and control points for data quality assurance and data selection processes
OP2345,Establish monitoring and control points for performance assessment of the model in production
OP1657,Establish ongoing testing & evaluation program
OP1658,Define ongoing monitoring practices  
OP1659,Define response procedures for model problems
OP1660,Assess model limitations periodically
OP1661,Analyze model overrides periodically
OP1662,Track model override performance
OP1915,Integrate logging capabilities into the AI system
OP1663,Escalate model revision needs
OP1906,Document corrective actions taken
OP2334,Audit data and model inputs
OP1908,Conduct model process verification
OP1664,Verify data inputs quality
OP1665,Verify model computer code
OP1666,Verify system integration
OP1667,Verify user-developed applications
OP1668,Review model-derived reports
OP1670,Define model benchmarking data
OP1671,Model benchmarking
OP1672,Analyze benchmarking results
OP1673,Investigate benchmarking discrepancies
OP1909,Conduct outcomes analysis
OP1674,Define outcomes analysis techniques  
OP1675,Define outcomes analysis metrics  
OP1676,Establish early warning metrics for outcomes analysis
OP1677,Define escalation procedures for model deficiencies
OP2632,Document escalated model deficiencies
OP1678,Conduct parallel outcomes analysis
OP1679,Identify necessary model changes
OP1680,Conduct model back-testing
OP1681,Analyze model discrepancies
OP2329,Define procedures to determine and specify decision control points
OP2330,Define decision control points appropriate to the context of the project
OP2331,Validate decision control points
OP2332,Implement the decision control points
OP1816,Define procedures to document automated model decisions
OP1804,Document model decisions
OP2574,Disclose the level of Functional Correctness along with decision
OP2562,Monitor and validate appropriateness of AI system's decisions and/or outputs
OP2328,Audit the AI system’s decisions and/or outputs periodically
OP2333,Audit decision control points periodically
OP1420,Define Model Metadata Practice
OP1421,Define and approve PL attribute for Ms attestation
OP2586,Document the design and functionality of the AI system
OP1422,Produce model factsheets and model cards
OP1434,Approve the model before production
OP1817,Approve the deployment of the Automated Decision System in production
OP1436,"Diversify datasets for testing, training & validating"
OP1437,Test AI models on various demographic groups to mitigate systematic bias
OP1438,Assess training dataset generalizability
OP1439,Document data used to train machine learning models
OP1441,Define features to incorporate in AI models
OP1442,Define robustness requirements of AI models
OP1443,Conduct adversarial testing on AI models
OP2288,Evaluate the impact of data quality on model performance
OP2289,Evaluate adversarial attack impact on model performance
OP2546,Conduct application security testing
OP2547,Conduct red-team exercise
OP2290,Evaluate the impact of resource degradation on model performance
OP2573,Set up additional safety features for known critical issues
OP2337,Document model robustness evaluation
OP1444,Conduct periodic audit of robustness of AI model
OP1910,Validate AI model robustness
OP1445,Approve outliers patterns and thresholds
OP1446,Detect new outlier patterns and thresholds
OP1447,Approve new data quality criteria
OP1448,Evaluate the risk appetite on a regular basis
OP1449,Manage breaks in statistical properties
OP1450,Manage duration of data relevance
OP1451,Manage outliers patterns & thresholds
OP1452,Define data quality criteria
OP1453,Detect and approve new outlier patterns
OP1911,Define acceptable levels of model and data drift
OP2318,Establish mechanisms and processes to mitigate data drift
OP2319,Establish mechanisms and processes to retrain model
OP1454,Attest model robustness to data drift
